"GroupId","OpenDate","WorkingTimes"
j,"20190329","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
a,"20190329","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
b,"20190329","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
i,"20190329","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
c,"20190329","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
c_o,"20190329","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
cs,"20190329","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
CF,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
CFC,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
CFP,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
CY,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
FG,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
MA,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
OI,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
RM,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
SA,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
SR,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
SRC,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
SRP,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
TA,"20191211","[{""Begin"": ""21:00:00"", ""End"": ""23:00:00"", ""IsNight"": true, ""IsOpen"": true}, {""Begin"": ""09:00:00"", ""End"": ""10:15:00""}, {""Begin"": ""10:30:00"", ""End"": ""11:30:00""}, {""Begin"": ""13:30:00"", ""End"": ""15:00:00"", ""IsClose"": true}]"
